PERNOD RICARD SA;L'OREAL;VINCI SA;BANCO BILBAO VIZCAYA ARGENTA;BANCO SANTANDER SA;ASML HOLDING NV;KONINKLIJKE PHILIPS NV;TELEFONICA SA;TOTAL SE;AIR LIQUIDE SA;AXA SA;BNP PARIBAS;DANONE;VIVENDI SE;ESSILORLUXOTTICA;LVMH MOET HENNESSY LOUIS VUI;KERING;AMADEUS IT GROUP SA;SAFRAN SA;KONINKLIJKE AHOLD DELHAIZE N;UNILEVER PLC;IBERDROLA SA;ING GROEP NV;LINDE PLC;INDUSTRIA DE DISENO TEXTIL;INTESA SANPAOLO;ENI SPA;ENGIE;ORANGE;ANHEUSER-BUSCH INBEV SA/NV;SANOFI;SOCIETE GENERALE SA;ENEL SPA;NOKIA OYJ;SCHNEIDER ELECTRIC SE;ALLIANZ SE-REG;AIRBUS SE;BAYER AG-REG;BAYERISCHE MOTOREN WERKE AG;CRH PLC;BASF SE;SIEMENS AG-REG;VOLKSWAGEN AG-PREF;MUENCHENER RUECKVER AG-REG;FRESENIUS SE & CO KGAA;SAP SE;ADIDAS AG;DEUTSCHE TELEKOM AG-REG;DEUTSCHE POST AG-REG;MERCEDES-BENZ GROUP AG;DEUTSCHE BOERSE AG
160.8;238.6;88.0;5.328;4.278;172.5;35.345;7.485;49.98;103.7272727272727;22.965;43.905;68.5;25.79;96.84;334.5;526.4;71.18;122.35;23.23;51.8;7.798;11.162;158.5;26.3;2.198;15.79;13.35;14.605;74.93;79.24;26.615;5.661;5.147;71.68;201.55;117.22;59.15;71.25;28.23;67.18;99.17;146.1;214.0;51.21;103.1;221.65;14.824;29.01;54.95;115.5
160.4;240.2;89.36;5.413;4.364;176.22;35.895;7.553;50.0;105.0454545454545;23.34;44.515;68.92;26.3;97.26;334.0;524.2;71.6;125.05;23.18;51.8;7.91;11.324;163.45;26.64;2.2175;15.904;13.47;14.83;74.72;78.71;26.845;5.708;5.25;73.06;205.6;118.54;60.41;72.58;29.21;69.37;100.7;148.52;214.8;52.42;103.84;223.55;14.946;29.845;55.49;117.0
160.0;241.3;88.86;5.498;4.407;176.84;35.445;7.62;49.87;105.1818181818182;23.37;44.875;68.4;26.18;97.24;333.55;522.5;71.48;124.0;23.295;52.0;7.96;11.42;163.85;26.9;2.234;15.756;13.47;14.85;75.5;78.57;26.98;5.695;5.251;73.02;206.6;117.82;60.68;73.34;28.93;69.12;100.98;149.96;215.7;52.39;103.64;226.4;15.052;29.905;56.22;116.6
160.2;240.0;89.3;5.495;4.402;179.32;35.38;7.508;50.29;105.9545454545454;23.25;44.505;67.9;26.42;96.1;336.05;530.1;71.52;125.45;23.105;51.6;7.942;11.306;165.2;26.7;2.234;15.848;13.44;14.86;76.9;78.49;26.65;5.694;5.257;72.84;206.6;118.68;61.47;73.79;29.48;69.46;102.14;148.76;216.0;51.97;102.5;227.55;14.984;29.91;56.01;116.35
160.4;240.3;88.82;5.333;4.391;179.74;35.36;7.42;50.6;106.0909090909091;23.245;44.45;68.54;26.05;96.4;332.0;526.6;71.8;123.0;23.035;51.4;7.904;11.29;164.0;26.6;2.233;15.814;13.545;14.815;76.53;78.49;26.52;5.676;5.241;72.68;205.4;120.74;61.29;73.57;28.73;69.22;102.02;149.32;214.5;51.64;101.88;224.75;14.974;30.18;55.97;116.1
159.85;240.0;88.0;5.346;4.3785;179.2;35.07;7.388;50.23;105.3636363636364;23.16;44.58;68.54;26.13;97.06;327.3;517.8;71.4;121.35;23.015;51.8;7.914;11.312;162.25;26.5;2.2365;15.888;13.58;14.86;76.6;78.25;26.595;5.66;5.184;72.6;205.65;118.5;60.92;73.2;28.74;68.71;100.7;148.0;214.4;51.67;98.38;224.15;14.968;29.86;55.23;114.8
160.0;242.5;89.44;5.294;4.371;177.8;35.285;7.394;50.37;105.9545454545454;23.175;44.2;69.0;26.32;96.86;329.75;523.6;70.7;120.9;23.31;51.4;7.948;11.248;162.6;26.54;2.2215;15.94;13.605;14.68;77.51;77.96;26.26;5.676;5.168;73.22;206.5;116.5;61.47;73.19;28.6;68.83;101.58;147.6;214.5;51.6;99.7;226.3;14.926;29.915;55.06;115.25
160.15;240.2;89.5;5.37;4.477;176.3;35.015;7.436;50.08;105.1363636363636;23.28;44.805;69.14;26.32;98.74;344.95;535.3;69.9;120.45;22.94;51.4;7.848;11.452;160.35;26.59;2.2345;15.924;13.375;14.61;78.08;77.14;26.93;5.643;5.182;73.3;207.95;117.5;60.79;73.51;29.07;69.61;102.44;151.14;215.6;51.81;99.67;225.4;14.86;30.205;55.45;114.7
158.8;240.3;89.66;5.512;4.559;178.72;35.22;7.432;49.99;105.1363636363636;23.34;46.315;69.4;26.28;101.0;342.9;530.4;69.74;122.0;21.93;50.8;7.754;11.866;159.75;26.3;2.2835;15.816;13.2;14.56;78.41;75.4;28.0;5.61;5.206;73.64;208.3;118.6;61.42;75.29;29.13;71.79;103.86;153.34;214.2;51.45;99.39;225.4;14.828;30.12;56.67;114.55
158.95;238.5;89.3;5.481;4.56;177.06;35.695;7.467;50.07;105.4090909090909;23.45;46.85;69.98;26.37;101.6;342.95;531.6;69.7;121.25;22.37;50.8;7.79;11.942;158.75;26.54;2.301;15.67;13.315;14.64;78.63;75.0;27.985;5.581;5.0;73.88;209.8;117.24;61.71;75.65;29.28;72.15;103.74;154.98;215.1;50.85;99.76;226.3;14.952;30.41;56.49;112.9
